S0,K,T,C_mkt,iv_market
660.08,575.0,0.0,84.56,1.2316932946777341
660.08,580.0,0.0,94.58,1.1635784008789063
660.08,585.0,0.0,78.59,1.0754440759277344
660.08,590.0,0.0,89.22,1.0185595947265624
660.08,605.0,0.0,53.43,0.8510757080078125
660.08,610.0,0.0,54.07,0.7854025366210937
660.08,615.0,0.0,47.81,0.7050810742187501
660.08,625.0,0.0,35.02,0.5832561206054687
660.08,630.0,0.0,32.62,0.5222215747070311
660.08,632.0,0.0,31.73,0.4858449853515625
660.08,635.0,0.0,28.82,0.44434149414062496
660.08,640.0,0.0,21.35,0.38672488281249995
660.08,642.0,0.0,17.09,0.3668276208496094
660.08,644.0,0.0,17.5,0.34326828613281246
660.08,645.0,0.0,18.0,0.3324041369628906
660.08,646.0,0.0,16.3,0.35352208984374994
660.08,647.0,0.0,12.83,0.33765310791015624
660.08,648.0,0.0,14.83,0.3270330969238281
660.08,649.0,0.0,15.38,0.2960275476074219
660.08,650.0,0.0,12.32,0.2830882238769531
660.08,651.0,0.0,11.58,0.280158565673828
660.08,652.0,0.0,10.28,0.29004616210937495
660.08,653.0,0.0,9.42,0.2640454455566406
660.08,654.0,0.0,8.77,0.27283442016601556
660.08,655.0,0.0,8.03,0.24988543090820312
660.08,656.0,0.0,7.15,0.24024197265624997
660.08,657.0,0.0,6.42,0.2417068017578125
660.08,658.0,0.0,5.75,0.2356033471679687
660.08,659.0,0.0,4.9,0.2222367816162109
660.08,660.0,0.0,4.35,0.21704884521484374
660.08,661.0,0.0,3.77,0.21656056884765623
660.08,662.0,0.0,3.15,0.2067950415039062
660.08,663.0,0.0,2.7,0.2048419360351562
660.08,664.0,0.0,2.27,0.20172917419433595
660.08,665.0,0.0,1.87,0.19678537597656248
660.08,666.0,0.0,1.55,0.19458813232421873
660.08,667.0,0.0,1.23,0.18982743774414065
660.08,668.0,0.0,0.99,0.1870198486328125
660.08,669.0,0.0,0.83,0.1900715759277344
660.08,670.0,0.0,0.58,0.18140467041015623
660.08,671.0,0.0,0.46,0.1782308740234375
660.08,672.0,0.0,0.35,0.17896328857421873
660.08,673.0,0.0,0.27,0.1757894921875
660.08,674.0,0.0,0.19,0.17383638671875
660.08,675.0,0.0,0.13,0.17285983398437502
660.08,676.0,0.0,0.1,0.17188328125000002
660.08,677.0,0.0,0.06,0.16993017578125003
660.08,678.0,0.0,0.06,0.174812939453125
660.08,679.0,0.0,0.05,0.17774259765625
660.08,680.0,0.0,0.03,0.179695703125
660.08,681.0,0.0,0.03,0.180672255859375
660.08,682.0,0.0,0.02,0.187508125
660.08,683.0,0.0,0.02,0.18555501953124998
660.08,684.0,0.0,0.01,0.19336744140625
660.08,685.0,0.0,0.01,0.1992267578125
660.08,686.0,0.0,0.01,0.20703917968749996
660.08,687.0,0.0,0.01,0.2148516015625
660.08,688.0,0.0,0.01,0.22071091796874998
660.08,689.0,0.0,0.01,0.22852333984375
660.08,690.0,0.0,0.01,0.23438265625
660.08,691.0,0.0,0.01,0.242195078125
660.08,692.0,0.0,0.01,0.2304764453125
660.08,693.0,0.0,0.01,0.23828886718749998
660.08,694.0,0.0,0.01,0.242195078125
660.08,695.0,0.0,0.01,0.2500075
660.08,696.0,0.0,0.01,0.257819921875
660.08,697.0,0.0,0.01,0.2617261328125
660.08,698.0,0.0,0.01,0.2695385546875
660.08,699.0,0.0,0.01,0.273444765625
660.08,700.0,0.0,0.01,0.28125718749999995
660.08,701.0,0.0,0.02,0.2890696093749999
660.08,702.0,0.0,0.02,0.2929758203124999
660.08,703.0,0.0,0.01,0.29688203124999996
660.08,704.0,0.0,0.01,0.304694453125
660.08,705.0,0.0,0.01,0.31250687499999996
