S0,K,T,C_mkt,iv_market
675.31,345.0,0.11,331.57,0.7389
675.31,350.0,0.11,326.45,0.0
675.31,355.0,0.11,321.51,0.0
675.31,360.0,0.11,316.52,0.0
675.31,365.0,0.11,311.54,0.0
675.31,370.0,0.11,306.57,0.0
675.31,375.0,0.11,301.59,0.0
675.31,380.0,0.11,296.62,0.0
675.31,385.0,0.11,291.64,0.5179
675.31,390.0,0.11,286.67,0.5218
675.31,395.0,0.11,281.69,0.5449
675.31,400.0,0.11,276.71,0.5168
675.31,405.0,0.11,271.74,0.5304
675.31,410.0,0.11,266.76,0.5355
675.31,415.0,0.11,261.79,0.531
675.31,420.0,0.11,256.81,0.5258
675.31,425.0,0.11,251.84,0.5161
675.31,430.0,0.11,246.86,0.5102
675.31,435.0,0.11,241.88,0.5031
675.31,440.0,0.11,236.93,0.5034
675.31,445.0,0.11,231.94,0.4927
675.31,450.0,0.11,226.99,0.4911
675.31,455.0,0.11,222.0,0.4802
675.31,460.0,0.11,217.04,0.4725
675.31,465.0,0.11,212.06,0.4646
675.31,470.0,0.11,207.11,0.4595
675.31,475.0,0.11,202.13,0.4511
675.31,480.0,0.11,197.17,0.4439
675.31,485.0,0.11,192.32,0.4581
675.31,490.0,0.11,187.25,0.4287
675.31,495.0,0.11,182.31,0.4266
675.31,500.0,0.11,177.45,0.4326
675.31,505.0,0.11,172.36,0.4034
675.31,510.0,0.11,167.41,0.3976
675.31,515.0,0.11,162.51,0.3971
675.31,520.0,0.11,157.62,0.3956
675.31,525.0,0.11,152.68,0.3867
675.31,530.0,0.11,147.61,0.3656
675.31,535.0,0.11,142.66,0.3575
675.31,536.0,0.11,141.68,0.3558
675.31,537.0,0.11,140.68,0.3535
675.31,538.0,0.11,139.7,0.3528
675.31,539.0,0.11,138.72,0.3515
675.31,540.0,0.11,137.72,0.3497
675.31,541.0,0.11,136.74,0.3479
675.31,542.0,0.11,135.74,0.3455
675.31,543.0,0.11,134.76,0.345
675.31,544.0,0.11,133.78,0.343
675.31,545.0,0.11,132.79,0.3416
675.31,546.0,0.11,131.81,0.3401
675.31,547.0,0.11,130.82,0.3386
675.31,548.0,0.11,129.84,0.337
675.31,549.0,0.11,128.84,0.3351
675.31,550.0,0.11,127.98,0.3426
675.31,551.0,0.11,126.88,0.332
675.31,552.0,0.11,125.9,0.3308
675.31,553.0,0.11,124.91,0.3288
675.31,554.0,0.11,123.91,0.3268
675.31,555.0,0.11,123.06,0.3348
675.31,556.0,0.11,121.95,0.3243
675.31,557.0,0.11,120.97,0.323
675.31,558.0,0.11,119.98,0.321
675.31,559.0,0.11,119.0,0.319
675.31,560.0,0.11,118.13,0.3256
675.31,561.0,0.11,117.03,0.3163
675.31,562.0,0.11,116.05,0.3143
675.31,563.0,0.11,115.07,0.3136
675.31,564.0,0.11,114.16,0.3158
675.31,565.0,0.11,113.18,0.3142
675.31,566.0,0.11,112.13,0.3089
675.31,567.0,0.11,111.15,0.3073
675.31,568.0,0.11,110.3,0.3127
675.31,569.0,0.11,109.19,0.3042
675.31,570.0,0.11,108.34,0.3094
675.31,571.0,0.11,107.23,0.301
675.31,572.0,0.11,106.25,0.2993
675.31,573.0,0.11,105.35,0.3019
675.31,574.0,0.11,104.3,0.2965
675.31,575.0,0.11,103.45,0.3015
675.31,576.0,0.11,102.34,0.2932
675.31,577.0,0.11,101.5,0.2982
675.31,578.0,0.11,100.39,0.2902
675.31,579.0,0.11,99.55,0.295
675.31,580.0,0.11,98.43,0.2867
675.31,581.0,0.11,97.55,0.2897
675.31,582.0,0.11,96.47,0.2832
675.31,583.0,0.11,95.64,0.2882
675.31,584.0,0.11,94.63,0.285
675.31,585.0,0.11,93.66,0.2835
675.31,586.0,0.11,92.69,0.2819
