S0,K,T,P_mkt,iv_market
675.31,345.0,0.11,0.08,0.7092
675.31,350.0,0.11,0.08,0.7031
675.31,355.0,0.11,0.1,0.6963
675.31,360.0,0.11,0.1,0.6823
675.31,365.0,0.11,0.11,0.6746
675.31,370.0,0.11,0.11,0.661
675.31,375.0,0.11,0.11,0.6529
675.31,380.0,0.11,0.12,0.6447
675.31,385.0,0.11,0.14,0.6362
675.31,390.0,0.11,0.15,0.6274
675.31,395.0,0.11,0.15,0.6139
675.31,400.0,0.11,0.15,0.605
675.31,405.0,0.11,0.17,0.5958
675.31,410.0,0.11,0.17,0.5864
675.31,415.0,0.11,0.18,0.5769
675.31,420.0,0.11,0.21,0.5705
675.31,425.0,0.11,0.21,0.5606
675.31,430.0,0.11,0.23,0.5506
675.31,435.0,0.11,0.24,0.5433
675.31,440.0,0.11,0.26,0.533
675.31,445.0,0.11,0.28,0.5251
675.31,450.0,0.11,0.29,0.5147
675.31,455.0,0.11,0.3,0.5064
675.31,460.0,0.11,0.33,0.4981
675.31,465.0,0.11,0.34,0.489
675.31,470.0,0.11,0.36,0.48
675.31,475.0,0.11,0.39,0.4712
675.31,480.0,0.11,0.41,0.4631
675.31,485.0,0.11,0.44,0.4546
675.31,490.0,0.11,0.46,0.4453
675.31,495.0,0.11,0.49,0.4368
675.31,500.0,0.11,0.53,0.4282
675.31,505.0,0.11,0.56,0.4205
675.31,510.0,0.11,0.59,0.411
675.31,515.0,0.11,0.64,0.4026
675.31,520.0,0.11,0.68,0.3939
675.31,525.0,0.11,0.71,0.3851
675.31,530.0,0.11,0.76,0.3764
675.31,535.0,0.11,0.81,0.3679
675.31,536.0,0.11,0.81,0.3661
675.31,537.0,0.11,0.83,0.3647
675.31,538.0,0.11,0.83,0.3627
675.31,539.0,0.11,0.84,0.3609
675.31,540.0,0.11,0.86,0.3597
675.31,541.0,0.11,0.88,0.3579
675.31,542.0,0.11,0.89,0.3561
675.31,543.0,0.11,0.9,0.3539
675.31,544.0,0.11,0.91,0.3521
675.31,545.0,0.11,0.92,0.3507
675.31,546.0,0.11,0.93,0.3489
675.31,547.0,0.11,0.94,0.3476
675.31,548.0,0.11,0.95,0.3457
675.31,549.0,0.11,0.96,0.3435
675.31,550.0,0.11,0.97,0.3421
675.31,551.0,0.11,0.99,0.3407
675.31,552.0,0.11,1.0,0.3389
675.31,553.0,0.11,1.02,0.337
675.31,554.0,0.11,1.04,0.3355
675.31,555.0,0.11,1.04,0.3337
675.31,556.0,0.11,1.06,0.3322
675.31,557.0,0.11,1.08,0.3303
675.31,558.0,0.11,1.1,0.3288
675.31,559.0,0.11,1.1,0.3269
675.31,560.0,0.11,1.12,0.3254
675.31,561.0,0.11,1.14,0.3237
675.31,562.0,0.11,1.15,0.322
675.31,563.0,0.11,1.17,0.3205
675.31,564.0,0.11,1.19,0.3187
675.31,565.0,0.11,1.21,0.317
675.31,566.0,0.11,1.23,0.3154
675.31,567.0,0.11,1.25,0.3138
675.31,568.0,0.11,1.27,0.3122
675.31,569.0,0.11,1.29,0.3106
675.31,570.0,0.11,1.31,0.3089
675.31,571.0,0.11,1.33,0.3072
675.31,572.0,0.11,1.35,0.3056
675.31,573.0,0.11,1.37,0.304
675.31,574.0,0.11,1.38,0.3023
675.31,575.0,0.11,1.4,0.3007
675.31,576.0,0.11,1.43,0.2991
675.31,577.0,0.11,1.46,0.2976
675.31,578.0,0.11,1.48,0.2959
675.31,579.0,0.11,1.5,0.2943
675.31,580.0,0.11,1.52,0.2926
675.31,581.0,0.11,1.56,0.2911
